year,rank_within_year,origin_iso3,origin_name,destination_iso3,destination_name,estimated_flow_mean,estimated_flow_std,estimate_semantics
1990,1,IRN,Iran (Islamic Republic of),AFG,Afghanistan,523189.625000,350581.031250,model_estimated_annual_origin_destination_flow
1990,2,MEX,Mexico,USA,United States of America (the),511696.406250,140667.281250,model_estimated_annual_origin_destination_flow
1990,3,PAK,Pakistan,AFG,Afghanistan,468510.031250,345961.093750,model_estimated_annual_origin_destination_flow
1990,4,MWI,Malawi,MOZ,Mozambique,259990.718750,218855.359375,model_estimated_annual_origin_destination_flow
1990,5,KAZ,Kazakhstan,RUS,Russian Federation (the),254886.453125,218625.625000,model_estimated_annual_origin_destination_flow
1990,6,UKR,Ukraine,RUS,Russian Federation (the),201271.593750,159466.703125,model_estimated_annual_origin_destination_flow
1990,7,SOM,Somalia,ETH,Ethiopia,196464.375000,130606.359375,model_estimated_annual_origin_destination_flow
1990,8,SDN,Sudan (the),ETH,Ethiopia,165177.656250,110405.609375,model_estimated_annual_origin_destination_flow
1990,9,BGD,Bangladesh,IND,India,141742.359375,102795.265625,model_estimated_annual_origin_destination_flow
1990,10,JPN,Japan,USA,United States of America (the),140783.093750,79299.828125,model_estimated_annual_origin_destination_flow
1990,11,PAK,Pakistan,IND,India,122891.625000,73307.320312,model_estimated_annual_origin_destination_flow
1990,12,ETH,Ethiopia,SDN,Sudan (the),102115.539062,108461.039062,model_estimated_annual_origin_destination_flow
1990,13,BIH,Bosnia and Herzegovina,DEU,Germany,101421.648438,99820.851562,model_estimated_annual_origin_destination_flow
1990,14,TUR,Turkey,DEU,Germany,98246.375000,91856.539062,model_estimated_annual_origin_destination_flow
1990,15,PAK,Pakistan,IRN,Iran (Islamic Republic of),98137.179688,110466.656250,model_estimated_annual_origin_destination_flow
1990,16,USA,United States of America (the),DEU,Germany,97995.734375,59927.121094,model_estimated_annual_origin_destination_flow
1990,17,POL,Poland,USA,United States of America (the),95235.695312,60434.851562,model_estimated_annual_origin_destination_flow
1990,18,BIH,Bosnia and Herzegovina,HRV,Croatia,91323.796875,68637.914062,model_estimated_annual_origin_destination_flow
1990,19,IND,India,SAU,Saudi Arabia,87013.414062,77487.140625,model_estimated_annual_origin_destination_flow
1990,20,IND,India,ARE,United Arab Emirates (the),86016.703125,45757.417969,model_estimated_annual_origin_destination_flow
1990,21,PSE,"Palestine, State of",JOR,Jordan,79973.007812,89062.140625,model_estimated_annual_origin_destination_flow
1990,22,IDN,Indonesia,MYS,Malaysia,79327.273438,57291.105469,model_estimated_annual_origin_destination_flow
1990,23,IRN,Iran (Islamic Republic of),IRQ,Iraq,77127.226562,113756.773438,model_estimated_annual_origin_destination_flow
1990,24,IND,India,NPL,Nepal,76006.210938,63602.191406,model_estimated_annual_origin_destination_flow
1990,25,BIH,Bosnia and Herzegovina,SRB,Serbia,74106.187500,64569.750000,model_estimated_annual_origin_destination_flow
1990,26,IND,India,PAK,Pakistan,70036.328125,67381.492188,model_estimated_annual_origin_destination_flow
1990,27,ETH,Ethiopia,UGA,Uganda,69873.929688,70203.062500,model_estimated_annual_origin_destination_flow
1990,28,THA,Thailand,LAO,Lao People's Democratic Republic (the),69227.039062,38620.136719,model_estimated_annual_origin_destination_flow
1990,29,KOR,Korea (the Republic of),JPN,Japan,68080.843750,42807.964844,model_estimated_annual_origin_destination_flow
1990,30,PHL,Philippines (the),USA,United States of America (the),65291.324219,37885.445312,model_estimated_annual_origin_destination_flow
2000,1,MEX,Mexico,USA,United States of America (the),433711.156250,57492.070312,model_estimated_annual_origin_destination_flow
2000,2,IRN,Iran (Islamic Republic of),IRQ,Iraq,143854.953125,107542.531250,model_estimated_annual_origin_destination_flow
2000,3,IND,India,USA,United States of America (the),92418.703125,24893.937500,model_estimated_annual_origin_destination_flow
2000,4,IDN,Indonesia,MYS,Malaysia,84634.562500,46376.242188,model_estimated_annual_origin_destination_flow
2000,5,IND,India,ARE,United Arab Emirates (the),82940.468750,38024.699219,model_estimated_annual_origin_destination_flow
2000,6,MMR,Myanmar,THA,Thailand,79586.015625,26017.896484,model_estimated_annual_origin_destination_flow
2000,7,IDN,Indonesia,TLS,Timor-Leste,78873.257812,97538.390625,model_estimated_annual_origin_destination_flow
2000,8,KAZ,Kazakhstan,RUS,Russian Federation (the),78017.820312,32139.511719,model_estimated_annual_origin_destination_flow
2000,9,CHN,China,USA,United States of America (the),75420.531250,19657.158203,model_estimated_annual_origin_destination_flow
2000,10,PHL,Philippines (the),USA,United States of America (the),71568.703125,12083.964844,model_estimated_annual_origin_destination_flow
2000,11,ETH,Ethiopia,SOM,Somalia,67803.593750,55156.183594,model_estimated_annual_origin_destination_flow
2000,12,PAK,Pakistan,IND,India,64325.343750,36847.250000,model_estimated_annual_origin_destination_flow
2000,13,IND,India,BGD,Bangladesh,61479.179688,29081.300781,model_estimated_annual_origin_destination_flow
2000,14,JPN,Japan,KOR,Korea (the Republic of),59346.363281,21892.558594,model_estimated_annual_origin_destination_flow
2000,15,RUS,Russian Federation (the),DEU,Germany,56865.652344,25432.478516,model_estimated_annual_origin_destination_flow
2000,16,UKR,Ukraine,RUS,Russian Federation (the),56139.761719,37595.484375,model_estimated_annual_origin_destination_flow
2000,17,VNM,Viet Nam,USA,United States of America (the),51732.261719,15069.567383,model_estimated_annual_origin_destination_flow
2000,18,BFA,Burkina Faso,CIV,Côte d'Ivoire,46475.691406,16096.455078,model_estimated_annual_origin_destination_flow
2000,19,CHN,China,HKG,Hong Kong,45957.621094,19316.611328,model_estimated_annual_origin_destination_flow
2000,20,USA,United States of America (the),MEX,Mexico,44430.312500,19440.761719,model_estimated_annual_origin_destination_flow
2000,21,PRI,Puerto Rico,USA,United States of America (the),43370.820312,12198.473633,model_estimated_annual_origin_destination_flow
2000,22,NPL,Nepal,IND,India,42429.113281,18600.898438,model_estimated_annual_origin_destination_flow
2000,23,CHN,China,CAN,Canada,42120.445312,11656.830078,model_estimated_annual_origin_destination_flow
2000,24,IND,India,SAU,Saudi Arabia,41387.351562,12964.865234,model_estimated_annual_origin_destination_flow
2000,25,MYS,Malaysia,SGP,Singapore,41260.898438,13987.603516,model_estimated_annual_origin_destination_flow
2000,26,UZB,Uzbekistan,RUS,Russian Federation (the),40019.265625,21982.974609,model_estimated_annual_origin_destination_flow
2000,27,JPN,Japan,USA,United States of America (the),39596.421875,18270.427734,model_estimated_annual_origin_destination_flow
2000,28,EGY,Egypt,SAU,Saudi Arabia,39447.578125,25222.271484,model_estimated_annual_origin_destination_flow
2000,29,AZE,Azerbaijan,RUS,Russian Federation (the),38923.164062,28421.630859,model_estimated_annual_origin_destination_flow
2000,30,GTM,Guatemala,USA,United States of America (the),38682.667969,7710.063477,model_estimated_annual_origin_destination_flow
2010,1,MEX,Mexico,USA,United States of America (the),286959.093750,90292.367188,model_estimated_annual_origin_destination_flow
2010,2,BGD,Bangladesh,SAU,Saudi Arabia,276706.812500,81695.289062,model_estimated_annual_origin_destination_flow
2010,3,USA,United States of America (the),MEX,Mexico,242675.671875,87440.765625,model_estimated_annual_origin_destination_flow
2010,4,IND,India,ARE,United Arab Emirates (the),225064.093750,37143.980469,model_estimated_annual_origin_destination_flow
2010,5,IND,India,SAU,Saudi Arabia,220768.328125,52018.644531,model_estimated_annual_origin_destination_flow
2010,6,YEM,Yemen,SAU,Saudi Arabia,188220.984375,99462.187500,model_estimated_annual_origin_destination_flow
2010,7,PAK,Pakistan,AFG,Afghanistan,180869.593750,78925.890625,model_estimated_annual_origin_destination_flow
2010,8,IDN,Indonesia,MYS,Malaysia,176696.578125,57064.941406,model_estimated_annual_origin_destination_flow
2010,9,MYS,Malaysia,IDN,Indonesia,171664.734375,57152.500000,model_estimated_annual_origin_destination_flow
2010,10,MMR,Myanmar,THA,Thailand,160285.109375,64479.937500,model_estimated_annual_origin_destination_flow
