elapsed_min,timestamp,altitude_ft,ground_speed_kt,lat,lon,segment
0.0,2025-02-04T21:13:42Z,32000,478.6,16.777359,-88.036868,0
33.18,2025-02-04T21:46:53Z,32000,469.9,20.896229,-89.639499,0
35.93,2025-02-04T21:49:38Z,32000,465.4,21.225819,-89.788411,0
84.05,2025-02-04T22:37:45Z,34000,,26.890342,-92.878893,1
84.27,2025-02-04T22:37:58Z,34000,479.0,26.9179,-92.890038,1
108.27,2025-02-04T23:01:58Z,35000,471.4,29.919961,-93.946619,1
145.41,2025-02-04T23:39:06Z,36000,459.0,34.713492,-93.930073,1
184.82,2025-02-05T00:18:31Z,36000,446.0,39.617294,-94.011801,1
214.07,2025-02-05T00:47:46Z,32650,462.3,43.184044,-93.586055,1
219.29,2025-02-05T00:53:00Z,26350,401.8,43.796906,-93.506236,1
227.84,2025-02-05T01:01:33Z,10400,295.1,44.638504,-93.212782,1
235.0,2025-02-05T01:08:42Z,3275,172.1,44.955356,-93.401273,1
237.47,2025-02-05T01:11:10Z,1025,144.6,44.905452,-93.275065,1
238.72,2025-02-05T01:12:26Z,0,73.0,44.880993,-93.218438,1
